"File Name","Line Name","Line Code","LineID","StudentFileID"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 9 2024.sfx","3","3","{768B6D02-59B5-48F0-BA9C-B901917FC77F}","{97F0F60D-A20E-4DA7-BC28-EFC7ED6C049A}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 9 2024.sfx","4","4","{044E5481-564D-40B4-A9EB-440753FE54E2}","{97F0F60D-A20E-4DA7-BC28-EFC7ED6C049A}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 8 2024.sfx","1","1","{12C2B6A3-51B4-463A-AF34-8CD040318182}","{F823FA3B-FF78-480B-87B5-028721FB2F48}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 8 2024.sfx","2","2","{D10C6CD5-299C-4806-9139-EB2398B46C9E}","{F823FA3B-FF78-480B-87B5-028721FB2F48}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 8 2024.sfx","3","3","{ED2BB89C-A025-42A4-8EE7-D635DC038F1B}","{F823FA3B-FF78-480B-87B5-028721FB2F48}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 8 2024.sfx","4","4","{88952591-D0A1-4874-81C6-3F9F68CDF353}","{F823FA3B-FF78-480B-87B5-028721FB2F48}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 8 2024.sfx","5","5","{EB048618-9677-4228-BE96-3F080615DA79}","{F823FA3B-FF78-480B-87B5-028721FB2F48}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 8 2024.sfx","6","6","{F0276F68-C531-43D4-9D30-6BB1D6782889}","{F823FA3B-FF78-480B-87B5-028721FB2F48}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 8 2024.sfx","7","7","{F4543B98-F2C4-45C4-8FB8-F147C3BA6F45}","{F823FA3B-FF78-480B-87B5-028721FB2F48}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 8 2024.sfx","8","8","{C1C17B1C-963D-48EB-A5B3-61C54FE823A9}","{F823FA3B-FF78-480B-87B5-028721FB2F48}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 7 2024.sfx","1","1","{4E1B5400-3D90-40FD-ABBE-128C6085CE98}","{3E9CFE90-F0D5-4656-AC70-4868BC1B27EF}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 7 2024.sfx","2","2","{77F41282-DD60-4157-94FD-E3C969FEF004}","{3E9CFE90-F0D5-4656-AC70-4868BC1B27EF}"
"G:\Shared drives\Timetable Files\Student Options\2024\Year 7 2024.sfx","3","3","{5FE5DEAE-E066-4390-BE14-C72371099BDE}","{3E9CFE90-F0D5-4656-AC70-4868BC1B27EF}"
"G:\Shared drives\Timetable Files\Student Options\2024\ELC 2024.sfx","1","1","{D5766837-E8C6-4D03-898C-1F3CE43092A2}","{7342AFF0-97A8-4D3B-B9B8-F9DD3F6E349A}"
