"Group","Column No","GroupID"
"ELC F","55","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
"ELC F","56","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
"ELC F","57","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
"ELC F","58","{53BCE458-2701-4F48-93C2-1CF1F9181EC5}"
"ELC G","59","{896EDD09-6532-4E25-AAA3-1705F0CF9519}"
"ELC G","60","{896EDD09-6532-4E25-AAA3-1705F0CF9519}"
"12VM E","59","{F33693DF-374C-4714-B915-A6E8A2AA9209}"
"11VM A","39","{4DA90221-AE22-4496-8485-E1C0E2A7114E}"
"11VM A","3","{4DA90221-AE22-4496-8485-E1C0E2A7114E}"
"11VM A","4","{4DA90221-AE22-4496-8485-E1C0E2A7114E}"
"11VM A","42","{4DA90221-AE22-4496-8485-E1C0E2A7114E}"
"11VM A","43","{4DA90221-AE22-4496-8485-E1C0E2A7114E}"
"11VM A","31","{4DA90221-AE22-4496-8485-E1C0E2A7114E}"
"11VM A","32","{4DA90221-AE22-4496-8485-E1C0E2A7114E}"
"11VM A","47","{4DA90221-AE22-4496-8485-E1C0E2A7114E}"
"11VM A","48","{4DA90221-AE22-4496-8485-E1C0E2A7114E}"
"11VM B","2","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM B","26","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM B","7","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM B","8","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM B","54","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM B","30","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM B","10","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM B","11","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM B","22","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM B","23","{33C41F7F-B8BF-46B0-A044-625220322224}"
"11VM C","59","{1E91CAF1-BD5D-4E0E-90F2-DFB38B1AB489}"
"09A A","50","{F94A437B-F4CC-474A-9050-D5AC4DC19A53}"
"09A B","25","{4BFA0A39-3922-49A2-BA90-E59EA6217B3F}"
"09A B","51","{4BFA0A39-3922-49A2-BA90-E59EA6217B3F}"
"09A B","16","{4BFA0A39-3922-49A2-BA90-E59EA6217B3F}"
"09A B","54","{4BFA0A39-3922-49A2-BA90-E59EA6217B3F}"
"09A C","24","{40FFB6B7-924E-48ED-9F3A-C9ED18C7B367}"
"09A C","26","{40FFB6B7-924E-48ED-9F3A-C9ED18C7B367}"
"09A C","41","{40FFB6B7-924E-48ED-9F3A-C9ED18C7B367}"
"09A C","8","{40FFB6B7-924E-48ED-9F3A-C9ED18C7B367}"
"09A C","9","{40FFB6B7-924E-48ED-9F3A-C9ED18C7B367}"
"09A C","44","{40FFB6B7-924E-48ED-9F3A-C9ED18C7B367}"
"09A C","45","{40FFB6B7-924E-48ED-9F3A-C9ED18C7B367}"
"09A C","46","{40FFB6B7-924E-48ED-9F3A-C9ED18C7B367}"
"09A C","14","{40FFB6B7-924E-48ED-9F3A-C9ED18C7B367}"
"09A D","1","{E1A7D935-2FB7-4C60-B494-9148B0C9DD6D}"
"09A D","2","{E1A7D935-2FB7-4C60-B494-9148B0C9DD6D}"
"09A D","40","{E1A7D935-2FB7-4C60-B494-9148B0C9DD6D}"
"09A D","6","{E1A7D935-2FB7-4C60-B494-9148B0C9DD6D}"
"09A D","12","{E1A7D935-2FB7-4C60-B494-9148B0C9DD6D}"
"09A D","13","{E1A7D935-2FB7-4C60-B494-9148B0C9DD6D}"
"09A E","53","{07AEA0A7-12DA-41BF-9298-6D9863892746}"
"09A E","19","{07AEA0A7-12DA-41BF-9298-6D9863892746}"
"09A E","47","{07AEA0A7-12DA-41BF-9298-6D9863892746}"
"09A E","48","{07AEA0A7-12DA-41BF-9298-6D9863892746}"
"09A J","59","{1F6920E1-AC2C-4378-9046-E9B7049B72BF}"
"09B J","59","{81001ACB-7AEA-4ED0-929E-0D7EE657790B}"
"09C K","59","{74C199F6-E193-442F-9023-6622EEAD73EF}"
"09D C","6","{75346307-86CC-4189-86B9-9539B45DA983}"
"09D J","59","{2EA97238-DC58-4D0F-AF7D-AF9F455D9A73}"
"09E J","59","{EEFA9713-5FF1-4F41-BBC4-0EB690E5CC75}"
"09F J","59","{25C994E2-71BB-4944-9A6D-93BCCDDDCB68}"
"08A J","59","{0B306F03-FB4F-41D7-94A7-547B0B3E563E}"
"08B K","59","{03BE4661-2E8A-4DFC-A291-D43411EE4D23}"
"08C J","59","{3A1F44C4-B799-4BA2-B928-E6B3DE6D078B}"
"08D G","5","{4C49B247-5009-4EBD-AEB9-F42AEF4F7A8A}"
"08D G","6","{4C49B247-5009-4EBD-AEB9-F42AEF4F7A8A}"
"08D G","57","{4C49B247-5009-4EBD-AEB9-F42AEF4F7A8A}"
"08D G","58","{4C49B247-5009-4EBD-AEB9-F42AEF4F7A8A}"
"08D K","59","{6D97365F-9D03-4B15-80BE-2BCA62C8B666}"
