"Faculty Name","Faculty Code","Teacher Code","Load Limit Min","Load Limit Max","FacultyGuid","TeacherGuid"
"ARTS_DRAMA","DRA","BAK","0","0","{A5750A80-A969-433D-BFAC-E1239583BD52}","{DDDBF5CC-5130-4439-A610-DB50B6586AFC}"
"ARTS_DRAMA","DRA","HIN","0","0","{A5750A80-A969-433D-BFAC-E1239583BD52}","{352C7037-98BA-4002-A0B7-5AFEA9BB8CEC}"
"ARTS_DRAMA","DRA","RIC","0","0","{A5750A80-A969-433D-BFAC-E1239583BD52}","{4D3E13DC-5D7B-4A9D-BE1D-50E0BD434A8F}"
"ARTS_DRAMA","DRA","SPK","0","0","{A5750A80-A969-433D-BFAC-E1239583BD52}","{D3AAA5AE-0223-4DC2-850A-A4D5FCBC3BDD}"
"ARTS_DRAMA","DRA","VOU","0","0","{A5750A80-A969-433D-BFAC-E1239583BD52}","{D7EB2A28-2089-44B1-B14E-338E0AC487E3}"
"EAL_ENGLISH","EAL","CLK","0","0","{32D06A35-4650-474D-9A45-F6627FEF07F7}","{A84C5BAB-EA9B-46ED-9C6C-FD899B57BF23}"
"EAL_ENGLISH","EAL","PAL","0","0","{32D06A35-4650-474D-9A45-F6627FEF07F7}","{6228AD9F-23F9-4C3C-A9EC-A2BB78ADC6A8}"
"EAL_ENGLISH","EAL","TSI","0","0","{32D06A35-4650-474D-9A45-F6627FEF07F7}","{940569E0-0777-41AD-B2BB-E53D63829C2B}"
"EAL_ENGLISH","EAL","WIL","0","0","{32D06A35-4650-474D-9A45-F6627FEF07F7}","{9FE813AC-C499-495A-8B08-7FEE6C0ACC05}"
"ENGLISH_ENGLISH","ENG","ALL","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{B779FAD7-B226-4549-97F4-15E6022B2232}"
"ENGLISH_ENGLISH","ENG","ALP","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{B2DCA803-8611-41BF-AAFD-1CE2852F981F}"
"ENGLISH_ENGLISH","ENG","ADF","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{CA15CF69-04A3-4EF1-857C-1FB8196EF329}"
"ENGLISH_ENGLISH","ENG","BAK","0","0","{F5632056-9EF1-43FF-AC03-C9D367034EE7}","{DDDBF5CC-5130-4439-A610-DB50B6586AFC}"
